Data retrieved from old Bach lists
Notice: 
    - exact frequencies are unknown, generic band indicators are used
    - elevations are unknown, a dummy value is used
 
 
        Name    HHMMSS       # MJD    Freq     Elev      Flux    e_Flux  
                                       MHz      deg        Jy        Jy
       0235+164 183140 53378.77200 22000.0   0.0000    1.6330    0.1120
       0235+164 173531 53379.73300 22000.0   0.0000    1.5800    0.1130
       0235+164 183140 53379.77200 22000.0   0.0000    1.6220    0.1070
       0235+164 173823 53380.73500 22000.0   0.0000    1.6290    0.1100
       0235+164 183140 53380.77200 22000.0   0.0000    1.5780    0.1030
       0235+164 154019 53413.65300 22000.0   0.0000    1.3880    0.0670
       0235+164 131033 53414.54900 22000.0   0.0000    1.2700    0.1070
       0235+164 143950 53414.61100 22000.0   0.0000    1.3460    0.1660
       0235+164 154019 53414.65300 22000.0   0.0000    1.4420    0.0950
       0235+164 103502 53441.44100 22000.0   0.0000    1.1700    0.1400
       0235+164 120252 53441.50200 22000.0   0.0000    1.0810    0.0900
       0235+164 131033 53442.54900 22000.0   0.0000    1.1450    0.0830
       0235+164 104047 53443.44500 22000.0   0.0000    1.2450    0.0560
       0235+164 121004 53443.50700 22000.0   0.0000    1.2080    0.0580
       0235+164 094019 53465.40300 22000.0   0.0000    0.9880    0.4040
       0235+164 111102 53465.46600 22000.0   0.0000    0.7080    0.5320
       0235+164 121004 53465.50700 22000.0   0.0000    1.0780    0.4040
       0235+164 071033 53510.29900 22000.0   0.0000    0.5970    0.4320
       0235+164 071033 53511.29900 22000.0   0.0000    0.4090    0.5280
       0235+164 222750 53636.93600 22000.0   0.0000    1.7910    0.4280
       0235+164 223921 53636.94400 22000.0   0.0000    1.6950    0.4180
       0235+164 030545 53638.12900 22000.0   0.0000    1.7810    0.3120
       0235+164 031716 53638.13700 22000.0   0.0000    1.7170    0.3280
       0235+164 200643 53697.83800 22000.0   0.0000    3.5590    0.5080
       0235+164 201648 53697.84500 22000.0   0.0000    3.3810    0.4280
       0235+164 192457 53722.80900 22000.0   0.0000    2.8100    0.4070
       0235+164 193628 53722.81700 22000.0   0.0000    2.7140    0.4090
       0235+164 214311 53742.90500 22000.0   0.0000    2.7870    0.3930
       0235+164 215443 53742.91300 22000.0   0.0000    3.0890    0.4390
       0235+164 220740 53743.92200 22000.0   0.0000    3.1150    0.3430
       0235+164 221912 53743.93000 22000.0   0.0000    2.8050    0.3350
       0235+164 151131 53750.63300 22000.0   0.0000    3.2810    0.1980
       0235+164 200935 53765.84000 22000.0   0.0000    2.6680    0.3720
       0235+164 164047 53766.69500 22000.0   0.0000    2.6240    0.3790
       0235+164 165219 53766.70300 22000.0   0.0000    2.5490    0.2980
       0235+164 162331 53772.68300 22000.0   0.0000    2.8460    0.3180
       0235+164 163502 53772.69100 22000.0   0.0000    2.9560    0.3210
       0235+164 164800 53772.70000 22000.0   0.0000    2.9480    0.3180
       0235+164 132750 53805.56100 22000.0   0.0000    2.9640    0.3200
       0235+164 134047 53805.57000 22000.0   0.0000    3.0330    0.3210
       0235+164 104926 53849.45100 22000.0   0.0000    2.1420    0.3200
       0235+164 110223 53849.46000 22000.0   0.0000    2.2080    0.3320
       0235+164 054243 53927.23800 22000.0   0.0000    1.7520    0.3810
       0235+164 033852 53955.15200 22000.0   0.0000    1.7450    0.3110
       0235+164 035150 53955.16100 22000.0   0.0000    1.3950    0.2960
       0235+164 040447 53955.17000 22000.0   0.0000    1.2060    0.3020
       0235+164 023823 53973.11000 22000.0   0.0000    0.8650    0.3430
       0235+164 025121 53973.11900 22000.0   0.0000    1.2750    0.3240
       0235+164 030419 53973.12800 22000.0   0.0000    0.8730    0.3170
       0235+164 231648 54009.97000 22000.0   0.0000    0.8700    0.3120
       0235+164 232945 54009.97900 22000.0   0.0000    0.4500    0.2760
       0235+164 225219 54021.95300 22000.0   0.0000    0.5670    0.2780
       0235+164 230643 54021.96300 22000.0   0.0000    0.6430    0.2830
       0235+164 214311 54056.90500 22000.0   0.0000    0.7320    0.4090
       0235+164 215609 54056.91400 22000.0   0.0000    1.0620    0.4810
       0235+164 220907 54056.92300 22000.0   0.0000    0.7650    0.6530
       0235+164 220740 54080.92200 22000.0   0.0000    0.7360    0.3240
       0235+164 222038 54080.93100 22000.0   0.0000    0.8980    0.3340
       0235+164 223335 54080.94000 22000.0   0.0000    1.1080    0.3470
       0235+164 165512 54119.70500 22000.0   0.0000    1.2250    0.4940
       0235+164 170935 54119.71500 22000.0   0.0000    1.5250    0.4490
       0235+164 172233 54119.72400 22000.0   0.0000    1.0650    0.3560
       0235+164 173531 54119.73300 22000.0   0.0000    1.0530    0.3970
       0235+164 151423 54147.63500 22000.0   0.0000    2.0710    0.2640
