Data retrieved from old Bach lists
Notice: 
    - exact frequencies are unknown, generic band indicators are used
    - elevations are unknown, a dummy value is used
 
 
        Name    HHMMSS       # MJD    Freq     Elev      Flux    e_Flux  
                                       MHz      deg        Jy        Jy
       2230+114 192204 54023.80700  5000.0   0.0000    4.6860    0.1180
       2230+114 193502 54023.81600  5000.0   0.0000    4.7120    0.1130
       2230+114 045804 54200.20700  5000.0   0.0000    4.1630    0.1030
       2230+114 051102 54200.21600  5000.0   0.0000    4.1850    0.1000
       2230+114 015345 54290.07900  5000.0   0.0000    4.1460    0.0710
       2230+114 020643 54290.08800  5000.0   0.0000    4.1160    0.0710
       2230+114 031550 54297.13600  5000.0   0.0000    4.2660    0.1210
       2230+114 032848 54297.14500  5000.0   0.0000    4.3420    0.1230
       2230+114 213140 54347.89700  5000.0   0.0000    4.7000    0.1590
       2230+114 214604 54347.90700  5000.0   0.0000    3.9390    0.2180
       2230+114 215902 54347.91600  5000.0   0.0000    4.3720    0.1370
       2230+114 221159 54347.92500  5000.0   0.0000    4.4090    0.1340
       2230+114 202945 54396.85400  5000.0   0.0000    4.3220    0.1070
       2230+114 204243 54396.86300  5000.0   0.0000    4.4250    0.1050
       2230+114 231102 54723.96600  5000.0   0.0000    4.5480    0.1570
       2230+114 232400 54723.97500  5000.0   0.0000    4.5150    0.1660
       2230+114 192457 54779.80900  5000.0   0.0000    4.6910    0.1150
       2230+114 193755 54779.81800  5000.0   0.0000    4.6200    0.1250
       2230+114 103043 54912.43800  5000.0   0.0000    4.3100    0.3650
       2230+114 104340 54912.44700  5000.0   0.0000    4.1410    0.2970
       2230+114 094857 54953.40900  5000.0   0.0000    4.8490    0.3960
       2230+114 100321 54953.41900  5000.0   0.0000    4.8820    0.3980
       2230+114 034019 55003.15300  5000.0   0.0000    4.7500    0.1830
       2230+114 035316 55003.16200  5000.0   0.0000    4.6800    0.1740
       2230+114 021814 55034.09600  5000.0   0.0000    5.0430    0.2720
       2230+114 012331 55063.05800  5000.0   0.0000    5.3280    0.2900
       2230+114 204243 55099.86300  5000.0   0.0000    5.3200    0.1260
       2230+114 205707 55099.87300  5000.0   0.0000    5.3440    0.1220
       2230+114 202652 55121.85200  5000.0   0.0000    5.6180    0.1410
       2230+114 204116 55121.86200  5000.0   0.0000    5.4660    0.1360
       2230+114 142233 55209.59900  5000.0   0.0000    5.6090    0.1950
       2230+114 143657 55209.60900  5000.0   0.0000    5.4980    0.2300
       2230+114 074800 53478.32500  8000.0   0.0000    3.4230    0.1290
       2230+114 075931 53478.33300  8000.0   0.0000    3.8260    0.1270
       2230+114 050223 53511.21000  8000.0   0.0000    3.9850    0.1170
       2230+114 035736 53544.16500  8000.0   0.0000    4.0360    0.1600
       2230+114 232819 53544.97800  8000.0   0.0000    4.2320    0.3150
       2230+114 063559 53545.27500  8000.0   0.0000    4.0370    0.1790
       2230+114 203657 53576.85900  8000.0   0.0000    4.3070    0.1530
       2230+114 031843 53577.13800  8000.0   0.0000    4.2120    0.1340
       2230+114 231648 53577.97000  8000.0   0.0000    4.1810    0.1260
       2230+114 042204 53578.18200  8000.0   0.0000    4.1630    0.1270
       2230+114 210838 53587.88100  8000.0   0.0000    4.2250    0.1520
       2230+114 235833 53587.99900  8000.0   0.0000    4.1060    0.1330
       2230+114 213140 53605.89700  8000.0   0.0000    4.1670    0.1550
       2230+114 165931 53637.70800  8000.0   0.0000    4.1100    0.1220
       2230+114 004019 53638.02800  8000.0   0.0000    4.0330    0.1580
       2230+114 140057 53698.58400  8000.0   0.0000    4.3140    0.1870
       2230+114 210838 53698.88100  8000.0   0.0000    4.8370    0.1720
       2230+114 192331 53720.80800  8000.0   0.0000    4.4200    0.1300
       2230+114 150000 53721.62500  8000.0   0.0000    4.3400    0.2100
       2230+114 164926 53722.70100  8000.0   0.0000    4.4890    0.1230
       2230+114 122136 53740.51500  8000.0   0.0000    4.8840    0.1100
       2230+114 092136 53741.39000  8000.0   0.0000    4.8080    0.1080
       2230+114 122136 53741.51500  8000.0   0.0000    4.9130    0.1120
       2230+114 084955 53742.36800  8000.0   0.0000    4.8450    0.1120
       2230+114 122009 53744.51400  8000.0   0.0000    4.9860    0.1150
       2230+114 094731 53805.40800  8000.0   0.0000    5.5850    0.3360
       2230+114 100028 53805.41700  8000.0   0.0000    6.3280    0.2260
       2230+114 064438 53851.28100  8000.0   0.0000    5.0370    0.2010
       2230+114 065736 53851.29000  8000.0   0.0000    4.8460    0.2100
       2230+114 054536 53860.24000  8000.0   0.0000    5.3090    0.1360
       2230+114 054116 53861.23700  8000.0   0.0000    5.3110    0.1330
       2230+114 040907 53908.17300  8000.0   0.0000    5.4290    0.1590
       2230+114 015638 53956.08100  8000.0   0.0000    4.9110    0.2060
       2230+114 001257 53974.00900  8000.0   0.0000    4.6310    0.1050
       2230+114 214604 54010.90700  8000.0   0.0000    4.2850    0.1710
       2230+114 194926 54022.82600  8000.0   0.0000    4.2810    0.1450
       2230+114 191033 54037.79900  8000.0   0.0000    4.1820    0.1300
       2230+114 171102 54058.71600  8000.0   0.0000    4.0700    0.2740
       2230+114 165638 54080.70600  8000.0   0.0000    3.7620    0.0730
       2230+114 151004 54098.63200  8000.0   0.0000    3.7340    0.1380
       2230+114 134633 54121.57400  8000.0   0.0000    3.5060    0.1070
       2230+114 112945 54149.47900  8000.0   0.0000    3.4510    0.1830
       2230+114 090545 54199.37900  8000.0   0.0000    3.5330    0.0920
       2230+114 091843 54220.38800  8000.0   0.0000    3.4440    0.1100
       2230+114 091843 54220.38800  8000.0   0.0000    3.4440    0.1100
       2230+114 022819 54276.10300  8000.0   0.0000    3.6570    0.1190
       2230+114 010155 54289.04300  8000.0   0.0000    3.6340    0.0760
       2230+114 024409 54296.11400  8000.0   0.0000    3.6780    0.1210
       2230+114 013628 54325.06700  8000.0   0.0000    3.7230    0.1170
       2230+114 233111 54343.98000  8000.0   0.0000    3.8830    0.1060
       2230+114 211004 54373.88200  8000.0   0.0000    3.9620    0.1020
       2230+114 185609 54420.78900  8000.0   0.0000    3.8320    0.1170
       2230+114 173823 54435.73500  8000.0   0.0000    3.8870    0.1190
       2230+114 111102 54513.46600  8000.0   0.0000    3.8550    0.1320
       2230+114 112526 54576.47600  8000.0   0.0000    3.9690    0.1400
       2230+114 093140 54605.39700  8000.0   0.0000    4.0070    0.4780
       2230+114 023238 54641.10600  8000.0   0.0000    4.2900    0.1570
       2230+114 014633 54653.07400  8000.0   0.0000    4.3430    0.1540
       2230+114 011159 54667.05000  8000.0   0.0000    4.4730    0.1920
       2230+114 000252 54688.00200  8000.0   0.0000    4.6610    0.1180
       2230+114 222331 54722.93300  8000.0   0.0000    4.3810    0.2400
       2230+114 174409 54777.73900  8000.0   0.0000    4.6100    0.1280
       2230+114 085540 54951.37200  8000.0   0.0000    4.6670    0.3990
       2230+114 034145 55004.15400  8000.0   0.0000    5.9360    0.8910
       2230+114 023950 55035.11100  8000.0   0.0000    5.6200    0.1320
       2230+114 225052 55063.95200  8000.0   0.0000    5.6710    0.1930
       2230+114 234702 55076.99100  8000.0   0.0000    5.9090    0.1950
       2230+114 212302 55100.89100  8000.0   0.0000    6.0280    0.0930
       2230+114 204955 55122.86800  8000.0   0.0000    5.5360    0.2480
       2230+114 141814 55208.59600  8000.0   0.0000    5.9290    0.2350
       2251+158 132038 53373.55600 22000.0   0.0000    7.5530    0.4570
       2251+158 132331 53377.55800 22000.0   0.0000    7.7700    0.4680
       2251+158 132331 53379.55800 22000.0   0.0000    7.7660    0.4700
       2251+158 132331 53380.55800 22000.0   0.0000    7.4830    0.4530
       2251+158 110935 53413.46500 22000.0   0.0000    7.2140    0.2220
       2251+158 101159 53414.42500 22000.0   0.0000    6.8880    0.2260
       2251+158 110935 53414.46500 22000.0   0.0000    7.1390    0.2310
       2251+158 101452 53415.42700 22000.0   0.0000    7.2650    0.3760
       2251+158 074047 53442.32000 22000.0   0.0000    7.2740    0.2110
       2251+158 074047 53443.32000 22000.0   0.0000    6.8210    0.1970
       2251+158 083950 53443.36100 22000.0   0.0000    7.0950    0.2040
       2251+158 074047 53444.32000 22000.0   0.0000    7.0400    0.2060
       2251+158 084409 53444.36400 22000.0   0.0000    7.2050    0.2130
       2251+158 064311 53466.28000 22000.0   0.0000    6.8360    0.5120
       2251+158 074047 53466.32000 22000.0   0.0000    5.4550    0.5220
       2251+158 101033 53506.42400 22000.0   0.0000    4.7980    0.3620
       2251+158 102038 53506.43100 22000.0   0.0000    4.1740    0.3230
       2251+158 104507 53506.44800 22000.0   0.0000    4.2300    0.3550
       2251+158 111940 53506.47200 22000.0   0.0000    5.0010    0.4310
       2251+158 021102 53511.09100 22000.0   0.0000    5.2090    0.6640
       2251+158 021102 53512.09100 22000.0   0.0000    5.7840    0.6570
       2251+158 032555 53512.14300 22000.0   0.0000    5.1380    0.6250
       2251+158 212302 53606.89100 22000.0   0.0000    7.1090    0.4610
       2251+158 213433 53606.89900 22000.0   0.0000    6.9160    0.4320
       2251+158 181257 53629.75900 22000.0   0.0000   10.1900    0.6910
       2251+158 231355 53629.96800 22000.0   0.0000    9.8610    0.5750
       2251+158 232400 53629.97500 22000.0   0.0000   10.2990    0.5410
       2251+158 014214 53637.07100 22000.0   0.0000   11.4070    0.5900
       2251+158 210126 53637.87600 22000.0   0.0000   10.6020    0.4720
       2251+158 173238 53698.73100 22000.0   0.0000   12.1590    0.3940
       2251+158 154438 53720.65600 22000.0   0.0000   12.2300    0.7120
       2251+158 201355 53721.84300 22000.0   0.0000   12.3850    0.8070
       2251+158 124604 53743.53200 22000.0   0.0000   12.1160    0.6600
       2251+158 163043 53743.68800 22000.0   0.0000   11.4880    0.5970
       2251+158 090545 53751.37900 22000.0   0.0000   10.5440    0.5290
       2251+158 113531 53751.48300 22000.0   0.0000   11.2260    0.5690
       2251+158 133628 53772.56700 22000.0   0.0000   14.6640    0.7470
       2251+158 134926 53772.57600 22000.0   0.0000   14.9260    0.7570
       2251+158 105931 53806.45800 22000.0   0.0000   14.9350    1.7920
       2251+158 080350 53862.33600 22000.0   0.0000   10.7800    0.6580
       2251+158 081648 53862.34500 22000.0   0.0000   10.8820    0.6500
       2251+158 032009 53927.13900 22000.0   0.0000    9.5020    1.1950
       2251+158 014214 53955.07100 22000.0   0.0000    6.0280    0.6840
       2251+158 015512 53955.08000 22000.0   0.0000    6.1780    0.7150
       2251+158 003852 53973.02700 22000.0   0.0000    5.2650    0.6220
       2251+158 212009 54009.88900 22000.0   0.0000    7.2660    0.6000
       2251+158 213307 54009.89800 22000.0   0.0000    6.5100    0.5410
       2251+158 201102 54021.84100 22000.0   0.0000    6.1650    0.3870
       2251+158 202400 54021.85000 22000.0   0.0000    6.1310    0.3710
       2251+158 181843 54056.76300 22000.0   0.0000    5.9610    0.4890
       2251+158 183307 54056.77300 22000.0   0.0000    5.7250    0.4950
       2251+158 184604 54056.78200 22000.0   0.0000    6.1870    0.5010
       2251+158 185902 54056.79100 22000.0   0.0000    6.2920    0.5730
       2251+158 200643 54080.83800 22000.0   0.0000    5.6430    0.4530
       2251+158 201940 54080.84700 22000.0   0.0000    5.8230    0.4460
       2251+158 203238 54080.85600 22000.0   0.0000    5.7310    0.5410
       2251+158 155902 54119.66600 22000.0   0.0000    5.3040    0.3540
       2251+158 161326 54119.67600 22000.0   0.0000    6.1070    0.3590
       2251+158 162624 54119.68500 22000.0   0.0000    5.4100    0.3980
       2251+158 163921 54119.69400 22000.0   0.0000    5.3940    0.4980
       2251+158 103335 54120.44000 22000.0   0.0000    5.8640    0.5010
       2251+158 104633 54120.44900 22000.0   0.0000    5.3680    0.5690
       2251+158 105931 54120.45800 22000.0   0.0000    6.0840    0.4610
       2251+158 111228 54120.46700 22000.0   0.0000    6.0280    0.5880
       2251+158 140516 54147.58700 22000.0   0.0000    5.8540    0.3410
       2251+158 141814 54147.59600 22000.0   0.0000    5.5920    0.2730
       2251+158 143111 54147.60500 22000.0   0.0000    6.0770    0.2900
       2251+158 144409 54147.61400 22000.0   0.0000    5.6430    0.2710
       2251+158 093140 54148.39700 22000.0   0.0000    5.3790    0.4930
       2251+158 094438 54148.40600 22000.0   0.0000    5.9310    0.4480
       2251+158 095736 54148.41500 22000.0   0.0000    5.9490    0.4430
       2251+158 101033 54148.42400 22000.0   0.0000    5.6160    0.4750
       2251+158 121423 54183.51000 22000.0   0.0000    5.3490    0.6030
       2251+158 122721 54183.51900 22000.0   0.0000    4.9180    0.6540
       2251+158 124019 54183.52800 22000.0   0.0000    3.9490    0.5740
       2251+158 060126 54197.25100 22000.0   0.0000    6.3480    1.0000
       2251+158 061423 54197.26000 22000.0   0.0000    4.7840    1.3290
       2251+158 063852 54218.27700 22000.0   0.0000    5.1190    0.4020
       2251+158 063852 54218.27700 22000.0   0.0000    5.1190    0.4020
       2251+158 065150 54218.28600 22000.0   0.0000    5.1080    0.4490
       2251+158 065150 54218.28600 22000.0   0.0000    5.1080    0.4490
       2251+158 070447 54218.29500 22000.0   0.0000    4.9600    0.4300
       2251+158 070447 54218.29500 22000.0   0.0000    4.9600    0.4300
       2251+158 071745 54218.30400 22000.0   0.0000    5.1400    0.4100
       2251+158 071745 54218.30400 22000.0   0.0000    5.1400    0.4100
       2251+158 012750 54274.06100 22000.0   0.0000    5.3520    0.4930
       2251+158 014047 54274.07000 22000.0   0.0000    5.7610    0.4620
       2251+158 015345 54274.07900 22000.0   0.0000    5.7890    0.5380
       2251+158 020643 54274.08800 22000.0   0.0000    6.0430    0.6150
       2251+158 031423 54288.13500 22000.0   0.0000    6.1380    0.4700
       2251+158 032721 54288.14400 22000.0   0.0000    5.7450    0.4610
       2251+158 051521 54295.21900 22000.0   0.0000    7.4090    1.2430
       2251+158 052945 54295.22900 22000.0   0.0000    6.4920    1.1680
       2251+158 001843 54323.01300 22000.0   0.0000    8.5020    0.5350
       2251+158 003140 54323.02200 22000.0   0.0000    7.4830    0.6320
       2251+158 004604 54323.03200 22000.0   0.0000    7.8800    0.6960
       2251+158 005902 54323.04100 22000.0   0.0000    7.7470    0.6860
       2251+158 231102 54344.96600 22000.0   0.0000    9.8360    0.8090
       2251+158 232526 54344.97600 22000.0   0.0000    8.9930    0.6700
       2251+158 233823 54344.98500 22000.0   0.0000    9.5940    0.7180
       2251+158 235121 54344.99400 22000.0   0.0000    7.5660    0.4550
       2251+158 224633 54371.94900 22000.0   0.0000    9.7000    0.3530
       2251+158 225931 54371.95800 22000.0   0.0000   10.5240    0.3640
       2251+158 231228 54371.96700 22000.0   0.0000    9.7390    0.4660
       2251+158 212848 54385.89500 22000.0   0.0000   10.1260    0.8190
       2251+158 215609 54385.91400 22000.0   0.0000    9.4290    1.1740
       2251+158 121423 54456.51000 22000.0   0.0000    9.1100    0.5110
       2251+158 122721 54456.51900 22000.0   0.0000    9.4050    0.5680
       2251+158 124145 54456.52900 22000.0   0.0000    9.4880    0.5570
       2251+158 125443 54456.53800 22000.0   0.0000    9.8770    0.6490
       2251+158 131619 54460.55300 22000.0   0.0000    9.6770    0.3480
       2251+158 133043 54460.56300 22000.0   0.0000   10.4920    0.3510
       2251+158 085707 54512.37300 22000.0   0.0000    9.0670    0.5030
       2251+158 091004 54512.38200 22000.0   0.0000    9.5380    0.5760
       2251+158 092428 54512.39200 22000.0   0.0000    9.3980    0.5410
       2251+158 093726 54512.40100 22000.0   0.0000    9.1610    0.5150
       2251+158 095443 54561.41300 22000.0   0.0000   10.4950    0.4730
       2251+158 100740 54561.42200 22000.0   0.0000   11.7330    0.4970
       2251+158 102204 54561.43200 22000.0   0.0000   11.9350    0.4980
       2251+158 101745 54575.42900 22000.0   0.0000   11.6950    1.1830
       2251+158 103209 54575.43900 22000.0   0.0000   11.0740    1.1320
       2251+158 034731 54652.15800 22000.0   0.0000   15.4060    2.3180
       2251+158 040155 54652.16800 22000.0   0.0000   15.9630    2.4020
       2251+158 041452 54652.17700 22000.0   0.0000   16.1280    2.4250
       2251+158 021814 54666.09600 22000.0   0.0000   15.9020    1.4420
       2251+158 024409 54666.11400 22000.0   0.0000   14.2770    1.2970
       2251+158 011033 54687.04900 22000.0   0.0000   20.4480    2.6070
       2251+158 013628 54687.06700 22000.0   0.0000   15.8880    1.9310
       2251+158 215150 54721.91100 22000.0   0.0000   20.7700    4.1570
       2251+158 220447 54721.92000 22000.0   0.0000   17.7860    3.6130
       2251+158 193628 54778.81700 22000.0   0.0000   16.2070    1.6390
       2251+158 194926 54778.82600 22000.0   0.0000   16.6700    1.6890
       2251+158 200223 54778.83500 22000.0   0.0000   16.7190    1.6860
       2251+158 173404 54815.73200 22000.0   0.0000   13.6180    1.3820
       2251+158 174702 54815.74100 22000.0   0.0000   13.7100    1.3900
       2251+158 094857 54911.40900 22000.0   0.0000    7.4800    0.8430
       2251+158 100155 54911.41800 22000.0   0.0000    8.2770    0.8980
       2251+158 101452 54911.42700 22000.0   0.0000    8.2870    0.9240
       2251+158 085540 54952.37200 22000.0   0.0000    6.5900    0.8340
       2251+158 091004 54952.38200 22000.0   0.0000    6.4030    0.8200
       2251+158 092302 54952.39100 22000.0   0.0000    6.5120    0.8710
       2251+158 032009 55002.13900 22000.0   0.0000    9.6800    2.4660
       2251+158 225512 55033.95500 22000.0   0.0000    6.4720    0.5710
       2251+158 230809 55033.96400 22000.0   0.0000    6.2200    0.6080
       2251+158 213433 55061.89900 22000.0   0.0000    6.0250    0.6880
       2251+158 214857 55061.90900 22000.0   0.0000    5.9070    0.7900
       2251+158 201940 55098.84700 22000.0   0.0000    6.9520    0.4340
       2251+158 203404 55098.85700 22000.0   0.0000    7.1670    0.4510
       2251+158 190155 55120.79300 22000.0   0.0000    8.5000    0.7630
       2251+158 123433 55209.52400 22000.0   0.0000   17.4320    1.4120
       2251+158 124731 55209.53300 22000.0   0.0000   18.7600    1.1200
       2251+158 040614 53826.17100 43000.0   0.0000   15.2450    5.6320
       2251+158 045052 53826.20200 43000.0   0.0000   15.1980    5.0860
       2251+158 063559 53826.27500 43000.0   0.0000   13.2730    4.1260
       2251+158 040614 53827.17100 43000.0   0.0000   14.4470    5.2590
       2251+158 043628 53855.19200 43000.0   0.0000   11.2840    1.9740
       2251+158 015052 53879.07700 43000.0   0.0000    8.1340    1.4940
       2251+158 033559 53879.15000 43000.0   0.0000    7.9520    1.3510
       2251+158 013628 53913.06700 43000.0   0.0000    7.2860    1.4150
       2251+158 003559 53928.02500 43000.0   0.0000    5.8080    0.9100
       2251+158 225052 53930.95200 43000.0   0.0000    5.2480    0.9570
       2251+158 205121 53950.86900 43000.0   0.0000    5.8290    1.3260
       2251+158 223628 53950.94200 43000.0   0.0000    5.5500    1.1990
       2251+158 212848 53951.89500 43000.0   0.0000    5.8950    1.2550
       2251+158 223628 53952.94200 43000.0   0.0000    6.0540    1.2630
       2251+158 195052 53971.82700 43000.0   0.0000    5.3890    1.4190
       2251+158 195052 53972.82700 43000.0   0.0000    5.4390    1.3890
       2251+158 213140 53972.89700 43000.0   0.0000    5.5790    1.2080
       2251+158 175121 53998.74400 43000.0   0.0000    5.6280    1.1310
       2251+158 193628 53998.81700 43000.0   0.0000    5.3080    0.9760
       2251+158 170643 53999.71300 43000.0   0.0000    4.9980    1.1870
       2251+158 175121 53999.74400 43000.0   0.0000    5.0080    1.0330
       2251+158 193628 53999.81700 43000.0   0.0000    5.5700    1.0170
       2251+158 170643 54000.71300 43000.0   0.0000    5.3220    1.1650
       2251+158 175121 54000.74400 43000.0   0.0000    5.6630    1.1400
       2251+158 193628 54000.81700 43000.0   0.0000    5.5770    1.0420
       2251+158 155150 54025.66100 43000.0   0.0000    6.2070    1.8520
       2251+158 155150 54026.66100 43000.0   0.0000    5.2670    1.5990
       2251+158 230643 54276.96300 43000.0   0.0000    8.3400    1.0640
       2251+158 234243 54276.98800 43000.0   0.0000   10.2530    1.2500
       2251+158 013628 54277.06700 43000.0   0.0000    8.0970    0.9830
       2251+158 234243 54277.98800 43000.0   0.0000    9.1480    1.3570
       2251+158 195052 54320.82700 43000.0   0.0000    7.7900    0.9990
       2251+158 203657 54320.85900 43000.0   0.0000    8.4830    0.9960
       2251+158 223628 54320.94200 43000.0   0.0000    7.2670    0.8500
       2251+158 195052 54321.82700 43000.0   0.0000   10.0790    1.2580
       2251+158 203657 54321.85900 43000.0   0.0000   10.2770    1.1610
       2251+158 223628 54321.94200 43000.0   0.0000    6.7420    0.8000
       2251+158 195052 54322.82700 43000.0   0.0000    7.2620    0.9500
       2251+158 203657 54322.85900 43000.0   0.0000    8.6210    1.0140
       2251+158 193628 54365.81700 43000.0   0.0000   12.2550    1.3730
       2251+158 165638 54366.70600 43000.0   0.0000   13.2780    1.7260
       2251+158 173657 54366.73400 43000.0   0.0000   11.1480    1.1850
       2251+158 193628 54366.81700 43000.0   0.0000   11.2450    1.2550
       2251+158 155024 54389.66000 43000.0   0.0000   13.5260    1.4590
       2251+158 155316 54390.66200 43000.0   0.0000   12.1420    1.4080
       2251+158 183559 54390.77500 43000.0   0.0000   12.6430    1.2670
       2251+158 165638 54421.70600 43000.0   0.0000   15.4760    1.9710
       2251+158 135052 54422.57700 43000.0   0.0000   11.1070    1.4370
       2251+158 155150 54422.66100 43000.0   0.0000   14.4010    1.7620
       2251+158 135219 54424.57800 43000.0   0.0000   14.0040    1.7640
       2251+158 155150 54424.66100 43000.0   0.0000   15.6970    1.9280
       2251+158 151423 54434.63500 43000.0   0.0000   14.5460    2.3040
       2251+158 145121 54435.61900 43000.0   0.0000   14.4230    2.3290
       2251+158 135345 54437.57900 43000.0   0.0000   14.4330    2.7900
       2251+158 155150 54437.66100 43000.0   0.0000   15.7940    2.4020
       2251+158 145121 54451.61900 43000.0   0.0000   18.7450    3.0170
       2251+158 105219 54478.45300 43000.0   0.0000   13.5580    1.9220
       2251+158 124857 54478.53400 43000.0   0.0000   12.3240    2.0400
       2251+158 100740 54479.42200 43000.0   0.0000   10.6040    1.4210
       2251+158 123307 54479.52300 43000.0   0.0000   11.7250    1.6920
       2251+158 100614 54480.42100 43000.0   0.0000   11.9220    1.6390
       2251+158 105219 54480.45300 43000.0   0.0000   11.0850    1.5280
       2251+158 125150 54480.53600 43000.0   0.0000   12.9310    1.8520
       2251+158 080643 54505.33800 43000.0   0.0000    8.0740    1.0130
       2251+158 105052 54505.45200 43000.0   0.0000   10.1740    1.8880
       2251+158 071912 54506.30500 43000.0   0.0000   14.4380    1.6370
       2251+158 080643 54506.33800 43000.0   0.0000   12.0950    1.4320
       2251+158 085540 54506.37200 43000.0   0.0000   10.4080    1.5520
       2251+158 105219 54506.45300 43000.0   0.0000   14.1610    1.7990
       2251+158 080643 54507.33800 43000.0   0.0000   11.0160    1.2790
       2251+158 105219 54507.45300 43000.0   0.0000   12.8830    1.6610
       2251+158 070740 54523.29700 43000.0   0.0000   12.6200    1.2900
       2251+158 075638 54523.33100 43000.0   0.0000   13.1450    1.4210
       2251+158 095024 54523.41000 43000.0   0.0000    8.3770    0.9840
       2251+158 045219 54556.20300 43000.0   0.0000   10.0660    1.0070
       2251+158 040740 54557.17200 43000.0   0.0000    9.5320    0.9130
       2251+158 045219 54557.20300 43000.0   0.0000    9.4460    0.9870
       2251+158 063726 54572.27600 43000.0   0.0000   10.6400    1.1910
       2251+158 020643 54580.08800 43000.0   0.0000   13.0950    1.2230
       2251+158 045219 54580.20300 43000.0   0.0000   13.5760    1.3760
       2251+158 020643 54581.08800 43000.0   0.0000   15.3390    1.3780
       2251+158 045052 54581.20200 43000.0   0.0000   13.6300    1.3850
       2251+158 015052 54597.07700 43000.0   0.0000   13.2890    1.5830
       2251+158 035150 54599.16100 43000.0   0.0000   11.9380    1.3560
       2251+158 025121 54611.11900 43000.0   0.0000   13.7950    1.3880
       2251+158 025121 54612.11900 43000.0   0.0000   13.7700    1.3880
       2251+158 005024 54613.03500 43000.0   0.0000   14.0990    1.2900
       2251+158 025121 54613.11900 43000.0   0.0000   14.1280    1.4170
       2251+158 225219 54641.95300 43000.0   0.0000   21.3460    2.2310
       2251+158 005316 54642.03700 43000.0   0.0000   18.2740    2.3390
       2251+158 225052 54642.95200 43000.0   0.0000   19.5570    1.9900
       2251+158 005150 54643.03600 43000.0   0.0000   18.2300    2.2890
       2251+158 225219 54643.95300 43000.0   0.0000   17.6870    1.9090
       2251+158 005150 54644.03600 43000.0   0.0000   18.6830    2.3340
       2251+158 230350 54658.96100 43000.0   0.0000   21.0310    3.2460
       2251+158 235121 54658.99400 43000.0   0.0000   18.5070    2.9770
       2251+158 230350 54659.96100 43000.0   0.0000   20.7960    3.1910
       2251+158 235121 54659.99400 43000.0   0.0000   19.3460    3.0980
       2251+158 220321 54679.91900 43000.0   0.0000   24.3000    2.4630
       2251+158 225219 54679.95300 43000.0   0.0000   27.1750    2.8250
       2251+158 220321 54680.91900 43000.0   0.0000   24.0970    2.4500
       2251+158 225052 54680.95200 43000.0   0.0000   27.0660    2.8250
       2251+158 220321 54681.91900 43000.0   0.0000   25.3450    2.5860
       2251+158 225219 54681.95300 43000.0   0.0000   27.0200    2.7790
       2251+158 200643 54709.83800 43000.0   0.0000   29.3270    3.3110
       2251+158 205121 54709.86900 43000.0   0.0000   30.1330    3.1830
       2251+158 200223 54710.83500 43000.0   0.0000   27.2460    2.8970
       2251+158 205121 54710.86900 43000.0   0.0000   28.4560    3.0430
       2251+158 163628 54743.69200 43000.0   0.0000   26.5000    3.4320
       2251+158 183559 54743.77500 43000.0   0.0000   26.8950    3.9670
       2251+158 163628 54744.69200 43000.0   0.0000   24.8040    3.2690
       2251+158 183559 54744.77500 43000.0   0.0000   25.4290    3.8240
       2251+158 163628 54745.69200 43000.0   0.0000   26.8460    3.5180
       2251+158 183559 54745.77500 43000.0   0.0000   27.6480    4.0540
       2251+158 155150 54779.66100 43000.0   0.0000   19.5450    2.8200
       2251+158 155150 54780.66100 43000.0   0.0000   17.6260    2.5130
       2251+158 155150 54781.66100 43000.0   0.0000   19.5690    2.8080
       2251+158 131159 54808.55000 43000.0   0.0000   21.7490    2.8150
       2251+158 135052 54808.57700 43000.0   0.0000   21.3680    2.6570
       2251+158 123559 54809.52500 43000.0   0.0000   22.3830    2.8080
       2251+158 130614 54809.54600 43000.0   0.0000   21.1520    2.6880
       2251+158 135052 54809.57700 43000.0   0.0000   21.4510    2.7220
       2251+158 100614 54841.42100 43000.0   0.0000   16.2260    2.8420
       2251+158 125150 54841.53600 43000.0   0.0000   12.3380    1.9150
       2251+158 100740 54842.42200 43000.0   0.0000   12.9180    2.1510
       2251+158 125024 54842.53500 43000.0   0.0000   12.5570    1.9860
       2251+158 080643 54877.33800 43000.0   0.0000   10.0860    1.2910
       2251+158 105219 54877.45300 43000.0   0.0000   10.2110    1.5800
       2251+158 080516 54879.33700 43000.0   0.0000    8.2300    1.0690
       2251+158 105219 54879.45300 43000.0   0.0000    8.6670    1.1270
       2251+158 045052 54930.20200 43000.0   0.0000    6.2710    0.6250
       2251+158 065150 54930.28600 43000.0   0.0000    6.2880    0.6750
       2251+158 035150 54959.16100 43000.0   0.0000    4.9930    0.5690
       2251+158 035150 54961.16100 43000.0   0.0000    5.4140    0.6080
       2251+158 005150 55009.03600 43000.0   0.0000    6.3200    0.7160
       2251+158 005150 55010.03600 43000.0   0.0000    5.6600    0.6520
       2251+158 005150 55011.03600 43000.0   0.0000    5.5990    0.6620
       2251+158 140643 55151.58800 43000.0   0.0000   21.6220    2.5380
       2251+158 133628 55157.56700 43000.0   0.0000   24.6300    2.8250
       2251+158 132624 55161.56000 43000.0   0.0000   22.5780    3.2530
       2251+158 132750 55165.56100 43000.0   0.0000   26.7840    3.4060
       2251+158 130740 55167.54700 43000.0   0.0000   24.6760    3.5730
       2251+158 135512 55167.58000 43000.0   0.0000   23.3500    3.4410
