J0050-0929 10.45 2455164.362   0.790 0.015
J0050-0929 10.45 2455200.350   0.871 0.014
J0050-0929 10.45 2455255.167   0.646 0.014
J0050-0929 10.45 2455318.971   0.342 0.005
J0050-0929 10.45 2455340.971   0.276 0.004
J0050-0929 10.45 2455374.811   0.228 0.004
J0050-0929 10.45 2455424.615   0.206 0.009
J0050-0929 10.45 2455457.635   0.223 0.009
J0050-0929 10.45 2455486.421   0.289 0.018
J0050-0929 10.45 2455543.265   0.411 0.011
J0050-0929 10.45 2455571.242   0.500 0.012
J0050-0929 10.45 2455639.949   0.576 0.017
J0050-0929 10.45 2455681.882   0.677 0.022
J0050-0929 10.45 2455751.738   0.627 0.018
J0050-0929 10.45 2455779.625   0.570 0.068
J0050-0929 10.45 2455808.562   0.570 0.020
J0050-0929 10.45 2455835.501   0.610 0.013
J0050-0929 10.45 2455900.305   0.715 0.016
J0050-0929 10.45 2455933.226   0.771 0.014
J0050-0929 10.45 2455954.154   0.767 0.014
J0050-0929 10.45 2455990.045   0.875 0.014
J0050-0929 10.45 2456020.009   1.045 0.022
J0050-0929 10.45 2456046.916   1.086 0.031
J0050-0929 10.45 2456081.889   1.048 0.047
J0050-0929 10.45 2456143.698   0.882 0.019
J0050-0929 10.45 2456173.662   0.717 0.018
J0050-0929 10.45 2456200.611   0.687 0.012
J0050-0929 10.45 2456263.349   0.814 0.020
J0050-0929 10.45 2456297.248   0.865 0.021
J0050-0929 10.45 2456328.125   0.943 0.022
J0050-0929 10.45 2456383.985   0.759 0.018
J0050-0929 10.45 2456417.892   0.800 0.018
J0050-0929 10.45 2456444.921   0.914 0.070
J0050-0929 10.45 2456465.797   0.953 0.072
J0050-0929 10.45 2456480.694   1.054 0.018
J0050-0929 10.45 2456508.728   0.917 0.027
J0050-0929 10.45 2456536.594   0.706 0.023
J0050-0929 10.45 2456578.484   0.584 0.016
J0050-0929 10.45 2456663.343   0.585 0.031
J0050-0929 10.45 2456691.116   0.556 0.021
J0050-0929 10.45 2456719.194   0.520 0.027
J0050-0929 10.45 2456752.926   0.596 0.014
J0050-0929 10.45 2456809.944   0.378 0.014
J0050-0929 10.45 2456838.722   0.339 0.016
J0050-0929 10.45 2456872.659   0.409 0.013
J0050-0929 10.45 2456901.516   0.433 0.011
J0050-0929 14.60 2455001.715   1.066 0.046
J0050-0929 14.60 2455046.593   0.904 0.019
J0050-0929 14.60 2455072.569   0.931 0.020
J0050-0929 14.60 2455103.483   1.015 0.035
J0050-0929 14.60 2455138.501   0.877 0.027
J0050-0929 14.60 2455151.361   0.809 0.019
J0050-0929 14.60 2455166.419   0.833 0.023
J0050-0929 14.60 2455200.360   0.823 0.026
