MJD,Freq,Flux,Flux_err,Source
54372.099,22000.0,1.901,0.548,0235+164
54372.108,22000.0,1.712,0.671,0235+164
54386.037,22000.0,0.817,0.279,0235+164
54386.046,22000.0,1.091,0.21,0235+164
54386.055,22000.0,1.494,0.17,0235+164
54456.831,22000.0,1.499,0.29,0235+164
54456.849,22000.0,1.454,0.204,0235+164
54456.858,22000.0,1.497,0.246,0235+164
54456.868,22000.0,1.186,0.25,0235+164
54460.785,22000.0,0.856,0.207,0235+164
54460.794,22000.0,1.21,0.228,0235+164
54510.634,22000.0,0.997,0.104,0235+164
54510.643,22000.0,1.023,0.115,0235+164
54510.652,22000.0,0.92,0.111,0235+164
54561.553,22000.0,1.292,0.142,0235+164
54561.563,22000.0,1.953,0.143,0235+164
54561.572,22000.0,1.577,0.142,0235+164
54575.56,22000.0,1.122,0.506,0235+164
54575.569,22000.0,2.62,0.685,0235+164
54604.488,22000.0,2.818,0.352,0235+164
54639.431,22000.0,3.396,0.362,0235+164
54639.441,22000.0,3.272,0.355,0235+164
54651.397,22000.0,2.112,0.393,0235+164
54666.333,22000.0,3.146,0.318,0235+164
54687.29,22000.0,2.781,0.372,0235+164
54722.158,22000.0,4.106,0.838,0235+164
54722.167,22000.0,4.835,0.983,0235+164
54779.046,22000.0,7.119,0.766,0235+164
54779.055,22000.0,6.743,0.733,0235+164
54815.922,22000.0,4.473,0.63,0235+164
54815.931,22000.0,3.648,0.681,0235+164
54911.639,22000.0,3.325,0.476,0235+164
54911.648,22000.0,2.519,0.434,0235+164
55032.284,22000.0,1.615,0.464,0235+164
55062.073,22000.0,1.18,0.217,0235+164
55062.082,22000.0,1.392,0.217,0235+164
55099.031,22000.0,1.183,0.161,0235+164
55121.037,22000.0,1.662,0.279,0235+164
55208.841,22000.0,0.591,0.322,0235+164
53854.327,43000.0,1.504,0.703,0235+164
53879.202,43000.0,1.759,0.705,0235+164
53879.286,43000.0,1.703,0.499,0235+164
53911.119,43000.0,1.838,0.77,0235+164
53913.202,43000.0,1.808,0.609,0235+164
53928.161,43000.0,1.267,0.461,0235+164
53931.16,43000.0,1.354,0.648,0235+164
53950.994,43000.0,0.738,0.493,0235+164
53951.077,43000.0,1.173,0.415,0235+164
53952.077,43000.0,0.927,0.382,0235+164
53952.994,43000.0,0.959,0.451,0235+164
53953.077,43000.0,1.082,0.414,0235+164
53970.963,43000.0,0.772,0.604,0235+164
53971.036,43000.0,0.68,0.392,0235+164
53972.036,43000.0,0.948,0.453,0235+164
53972.963,43000.0,0.87,0.506,0235+164
53973.036,43000.0,0.651,0.387,0235+164
53997.952,43000.0,0.432,0.333,0235+164
53998.869,43000.0,0.787,0.417,0235+164
53999.869,43000.0,0.457,0.426,0235+164
53999.952,43000.0,0.601,0.309,0235+164
54000.869,43000.0,0.741,0.405,0235+164
54025.859,43000.0,0.559,0.406,0235+164
54026.859,43000.0,0.395,0.361,0235+164
54277.119,43000.0,2.684,0.38,0235+164
54277.202,43000.0,2.82,0.457,0235+164
54320.995,43000.0,1.534,0.332,0235+164
54321.078,43000.0,1.509,0.254,0235+164
54321.994,43000.0,1.491,0.289,0235+164
54322.077,43000.0,1.444,0.207,0235+164
54364.952,43000.0,1.348,0.168,0235+164
54366.874,43000.0,1.126,0.149,0235+164
54366.953,43000.0,1.11,0.169,0235+164
54390.827,43000.0,1.665,0.199,0235+164
54390.87,43000.0,1.367,0.196,0235+164
54390.89,43000.0,1.52,0.179,0235+164
54421.771,43000.0,1.395,0.187,0235+164
54422.752,43000.0,1.674,0.258,0235+164
54422.775,43000.0,1.243,0.183,0235+164
54423.713,43000.0,1.199,0.202,0235+164
54423.752,43000.0,1.566,0.263,0235+164
54423.776,43000.0,1.314,0.193,0235+164
54424.713,43000.0,1.545,0.227,0235+164
54424.752,43000.0,1.345,0.226,0235+164
54424.775,43000.0,1.337,0.183,0235+164
54435.734,43000.0,1.602,0.357,0235+164
54436.752,43000.0,1.442,0.302,0235+164
54436.775,43000.0,1.421,0.236,0235+164
54437.752,43000.0,1.298,0.299,0235+164
54437.775,43000.0,1.357,0.235,0235+164
54450.731,43000.0,1.721,0.284,0235+164
54479.65,43000.0,1.051,0.179,0235+164
54480.588,43000.0,1.359,0.219,0235+164
54480.627,43000.0,1.169,0.204,0235+164
54480.65,43000.0,1.141,0.197,0235+164
54506.528,43000.0,1.032,0.167,0235+164
54521.464,43000.0,1.328,0.174,0235+164
54521.502,43000.0,1.374,0.181,0235+164
54522.463,43000.0,1.213,0.146,0235+164
54522.502,43000.0,1.248,0.162,0235+164
54523.462,43000.0,1.328,0.153,0235+164
54556.338,43000.0,1.803,0.197,0235+164
54556.377,43000.0,1.994,0.252,0235+164
54556.4,43000.0,1.665,0.189,0235+164
54557.338,43000.0,1.566,0.206,0235+164
54557.399,43000.0,2.166,0.27,0235+164
54580.317,43000.0,2.043,0.226,0235+164
54597.253,43000.0,2.531,0.379,0235+164
54597.276,43000.0,2.423,0.336,0235+164
54611.21,43000.0,3.446,0.383,0235+164
54611.234,43000.0,3.36,0.341,0235+164
54612.211,43000.0,3.468,0.343,0235+164
54612.234,43000.0,2.98,0.314,0235+164
54613.211,43000.0,3.283,0.339,0235+164
54613.234,43000.0,3.058,0.306,0235+164
54642.088,43000.0,4.296,0.463,0235+164
54642.127,43000.0,3.786,0.584,0235+164
54642.148,43000.0,4.267,0.783,0235+164
54643.088,43000.0,4.504,0.478,0235+164
54643.127,43000.0,4.404,0.522,0235+164
54643.15,43000.0,4.32,0.511,0235+164
54644.088,43000.0,4.256,0.453,0235+164
54644.127,43000.0,4.651,0.535,0235+164
54644.151,43000.0,4.275,0.527,0235+164
54659.085,43000.0,4.529,0.668,0235+164
54659.109,43000.0,4.072,0.647,0235+164
54660.086,43000.0,4.468,0.672,0235+164
54660.109,43000.0,4.233,0.66,0235+164
54680.044,43000.0,4.014,0.414,0235+164
54680.067,43000.0,3.679,0.386,0235+164
54681.044,43000.0,3.671,0.405,0235+164
54681.067,43000.0,3.714,0.392,0235+164
54682.044,43000.0,4.215,0.469,0235+164
54682.067,43000.0,3.816,0.402,0235+164
54707.922,43000.0,6.003,0.629,0235+164
54707.961,43000.0,5.434,0.618,0235+164
54707.984,43000.0,4.95,0.54,0235+164
54708.921,43000.0,5.553,0.607,0235+164
54708.961,43000.0,5.069,0.563,0235+164
54708.984,43000.0,4.936,0.528,0235+164
54709.921,43000.0,4.811,0.55,0235+164
54709.961,43000.0,5.417,0.632,0235+164
54709.984,43000.0,4.755,0.538,0235+164
54743.828,43000.0,5.686,0.814,0235+164
54743.867,43000.0,5.669,0.907,0235+164
54743.891,43000.0,5.172,0.872,0235+164
54744.827,43000.0,6.063,0.818,0235+164
54744.867,43000.0,5.379,0.835,0235+164
54744.89,43000.0,5.531,0.835,0235+164
54745.827,43000.0,6.293,0.853,0235+164
54745.867,43000.0,5.078,0.843,0235+164
54745.89,43000.0,5.069,0.765,0235+164
54779.713,43000.0,6.585,0.887,0235+164
54779.752,43000.0,6.524,0.905,0235+164
54779.775,43000.0,5.667,0.794,0235+164
54780.713,43000.0,6.477,0.877,0235+164
54780.752,43000.0,6.171,0.848,0235+164
54780.775,43000.0,5.747,0.799,0235+164
54781.713,43000.0,5.722,0.8,0235+164
54781.752,43000.0,6.392,0.879,0235+164
54781.775,43000.0,5.998,0.871,0235+164
54807.713,43000.0,5.225,0.669,0235+164
54807.753,43000.0,4.442,0.66,0235+164
54807.775,43000.0,4.723,0.628,0235+164
54808.713,43000.0,4.693,0.625,0235+164
54808.752,43000.0,4.436,0.616,0235+164
54808.775,43000.0,4.599,0.647,0235+164
54809.713,43000.0,4.996,0.704,0235+164
54809.752,43000.0,4.301,0.606,0235+164
54809.775,43000.0,4.444,0.614,0235+164
54840.628,43000.0,4.021,0.791,0235+164
54840.65,43000.0,4.05,0.766,0235+164
54841.627,43000.0,3.524,0.632,0235+164
54841.651,43000.0,3.665,0.665,0235+164
54842.587,43000.0,3.791,0.821,0235+164
54842.65,43000.0,3.936,0.729,0235+164
54878.569,43000.0,1.924,0.341,0235+164
54879.506,43000.0,1.727,0.393,0235+164
54879.544,43000.0,1.921,0.469,0235+164
54879.568,43000.0,1.819,0.316,0235+164
54930.377,43000.0,1.842,0.257,0235+164
54930.4,43000.0,1.806,0.235,0235+164
54959.252,43000.0,1.177,0.209,0235+164
54959.275,43000.0,1.484,0.201,0235+164
54961.252,43000.0,1.347,0.192,0235+164
54961.276,43000.0,1.379,0.179,0235+164
