Source,Freq,MJD_1,MJD_2,MJD_diff,Flux_1,Flux_2,Flux_diff
0235+164,5000.0,55034.246,55063.202,28.955999999998312,1.758,1.637,-0.121
0235+164,5000.0,55034.246,55063.211,28.965000000003783,1.758,1.727,-0.030999999999999917
0235+164,5000.0,55034.246,55063.221,28.974999999998545,1.758,1.536,-0.22199999999999998
0235+164,5000.0,55034.255,55063.202,28.947000000000116,1.773,1.637,-0.1359999999999999
0235+164,5000.0,55034.255,55063.211,28.956000000005588,1.773,1.727,-0.04599999999999982
0235+164,5000.0,55034.255,55063.221,28.96600000000035,1.773,1.536,-0.23699999999999988
0235+164,5000.0,55034.265,55063.202,28.93699999999808,1.65,1.637,-0.0129999999999999
0235+164,5000.0,55034.265,55063.211,28.94600000000355,1.65,1.727,0.07700000000000018
0235+164,5000.0,55034.265,55063.221,28.955999999998312,1.65,1.536,-0.11399999999999988
0235+164,5000.0,55063.202,55100.017,36.81500000000233,1.637,1.391,-0.246
0235+164,5000.0,55063.202,55100.026,36.824000000000524,1.637,1.526,-0.11099999999999999
0235+164,5000.0,55063.202,55100.036,36.83400000000256,1.637,1.5,-0.137
0235+164,5000.0,55063.211,55100.017,36.80599999999686,1.727,1.391,-0.3360000000000001
0235+164,5000.0,55063.211,55100.026,36.81499999999505,1.727,1.526,-0.20100000000000007
0235+164,5000.0,55063.211,55100.036,36.82499999999709,1.727,1.5,-0.2270000000000001
0235+164,5000.0,55063.221,55100.017,36.796000000002095,1.536,1.391,-0.14500000000000002
0235+164,5000.0,55063.221,55100.026,36.80500000000029,1.536,1.526,-0.010000000000000009
0235+164,5000.0,55063.221,55100.036,36.81500000000233,1.536,1.5,-0.03600000000000003
0235+164,5000.0,55100.017,55122.09,22.072999999996682,1.391,1.446,0.05499999999999994
0235+164,5000.0,55100.017,55122.1,22.08299999999872,1.391,1.463,0.07200000000000006
0235+164,5000.0,55100.017,55122.109,22.091999999996915,1.391,1.395,0.0040000000000000036
0235+164,5000.0,55100.026,55122.09,22.063999999998487,1.526,1.446,-0.08000000000000007
0235+164,5000.0,55100.026,55122.1,22.074000000000524,1.526,1.463,-0.06299999999999994
0235+164,5000.0,55100.026,55122.109,22.08299999999872,1.526,1.395,-0.131
0235+164,5000.0,55100.036,55122.09,22.05399999999645,1.5,1.446,-0.05400000000000005
0235+164,5000.0,55100.036,55122.1,22.063999999998487,1.5,1.463,-0.03699999999999992
0235+164,5000.0,55100.036,55122.109,22.072999999996682,1.5,1.395,-0.10499999999999998
0235+164,5075.0,57276.07682,57300.99152,24.914700000001176,2.2034,1.9354,-0.2679999999999998
0235+164,5075.0,57300.99152,57336.90705,35.9155299999984,1.9354,2.1533,0.2179000000000002
0235+164,5075.0,57336.90705,57370.99551,34.08845999999903,2.1533,2.061,-0.09230000000000027
0235+164,5075.0,57560.25957,57582.24747,21.98790000000008,3.0423,2.6705,-0.3717999999999999
0235+164,5075.0,57720.6718,57738.61934,17.947540000001027,2.1848,2.0362,-0.14860000000000007
0235+164,5075.0,57720.6718,57738.74742,18.075620000003255,2.1848,2.0649,-0.1198999999999999
0235+164,5075.0,57720.6718,57738.87711,18.20531000000483,2.1848,2.0233,-0.1615000000000002
0235+164,5075.0,57720.6718,57739.61115,18.93935000000056,2.1848,1.9454,-0.23940000000000006
0235+164,5125.0,55916.72656,55943.63672,26.91015999999945,1.1096,1.0928,-0.016799999999999926
0235+164,5125.0,55943.63672,55973.67188,30.03515999999945,1.0928,1.0231,-0.0697000000000001
